date,text,sentiment_label,sentiment_score
2024-11-04 11:58,investors realizing election musk either sell shares trump go jail harris,Neutral,0.9984215497970581
2024-11-04 11:07,come going ugly day,Neutral,0.9029579162597656
2024-11-04 10:57,good morning futures flat joining dow skid 68 280 china mad ev october 5 3 yoy positive results vk2735 weight loss trial u g overweight ms pt pt cut 2 needham u g buy jefferies pt,Positive,0.9999998807907104
2024-11-04 10:45,mag 7 upside 7 tesla target price upside 0 6 apple target price upside 11 5 nvidia target price upside 14 4 meta target price upside 16 3 amazon target price upside 20 2 microsoft,Positive,0.9999980926513672
2024-11-04 09:45,bizarre bulls feel need attack fellow tsla bulls spend time energy attacking dumb enough short tsla longs sports team thrown,Neutral,0.984757661819458
2024-11-04 08:04,good morning investors wait election,Neutral,0.91753089427948
2024-11-04 05:33,like investing 1999 tech long way go,Neutral,0.9908360242843628
2024-11-04 05:32,market news tesla tsla opening first store philippines week,Neutral,0.9999984502792358
2024-11-04 03:02,next week massive elections tuesday fomc thursday market go wild,Neutral,0.9999957084655762
2024-11-04 02:44,trade ideas tomorrow calls puts calls puts calls puts calls puts good luck amp always trade safe follow,Positive,0.6492639780044556
2024-11-04 02:11,watchlist week strong themes software 57 71 3 765 76 nuclear 8 ema 8 ema semis 74 5 85 aerospace strength 254 8,Positive,0.9999998807907104
2024-11-04 02:08,posted 15 bangers yall back tomorrow along commentary let see first,Neutral,0.999769389629364
2024-11-04 00:25,trump wins hit 11 10 least end next year,Neutral,0.9013309478759766
2024-11-04 00:16,trump loses might see repeat crash nov 3 2022 jan 3 2023,Neutral,0.9999445676803589
2024-11-04 00:15,weekly watchlist beware elections week lots ers expect potential chop volatile moves c gt 576 p lt 565 c gt 201 5 p lt 197 c lt 773 p gt 735 c gt 260 p lt 242 like tweet ready bank,Neutral,0.9999732971191406
2024-11-03 23:01,play election keep simple trump wins harris wins,Positive,0.9934492707252502
2024-11-03 22:46,someone told years ago many prominent tesla twitter influencers would turn maga would told person losing mind yet orange man savior make lol nothing entertaining,Neutral,0.9847820401191711
2024-11-03 22:36,happy sunday fam hope enjoyed weekend start posting bangers charts hours,Positive,0.8903184533119202
2024-11-03 22:22,stocks looking sell cash secured puts week sub sub sub sub sub sub sub sub sub sub big red days look load stocks,Neutral,0.9999659061431885
2024-11-03 21:14,next week _________________,Neutral,0.9940435290336609
2024-11-03 21:08,nuts rip peanut fred vote want get back usual feed beautiful teslas fsd dogs things make laugh point changing anyone mind love matter vote kamala trump use,Neutral,0.999854564666748
2024-11-03 21:08,wins presidency easiest logical play stock market djt win tesla becomes valuable company world next 4 years bookmark,Positive,0.9889910221099854
2024-11-03 20:39,weekly list calls gt 575 56 gap puts lt 569 23 mega gulag calls gt 103 puts lt 100 calls gt 250 puts lt 242 97 puts lt 197 bezos selling calls gt 83 37 puts lt 49 50 calls gt 52 68 calls gt 76 04 election jpoww week everything prob changes,Neutral,0.9999943971633911
2024-11-03 19:36,glad focusing margins sales volume let onvo firefly sell volume nio focuses margins let forget called high end evs model x account 3 total sales combined,Neutral,0.9994423985481262
2024-11-03 18:03,working legs today working,Neutral,0.9999737739562988
2024-11-03 18:00,top 6 stocks trade options,Neutral,0.9999979734420776
2024-11-03 17:46,listen podcasts spotify watch video listen audio let know thoughts detail best position live,Positive,0.8820168375968933
2024-11-03 17:20,predictions 1 hit share fueled widespread adoption robotaxi network 2 scale company within next decade 3 reach valuation next 10 years,Positive,0.9760445356369019
2024-11-03 16:59,wordle 1 233 4 6 lord day,Neutral,0.9999860525131226
2024-11-03 16:52,every single mag 7 stock charted analysis please like rt share help others thread,Neutral,0.9999918937683105
2024-11-03 14:00,watch brighter herbert discussing tesla shifted neutral bearish trend 2021 early year starting emerge bullish uptrend says newton latest conversation ong get daily technical,Positive,0.6156945824623108
2024-11-03 13:09,levels add top 10 positions market pulls back 1 2 3 4 5 6 7 8 9 10,Neutral,0.9997287392616272
2024-11-03 10:03,tesla shareholders far negative happens stock elon democrats kamala harris win election historically democratic administrations good stock markets therefore also shareholders tesla administration,Negative,0.9996399879455566
2024-11-03 09:43,next week week stock _______ next week,Neutral,0.9999977350234985
2024-11-03 09:37,magnificent 7 think undervalued check projected pe 2026 alphabet 16 8x meta 19 7x microsoft 22 9x amazon 26 7x apple 27 0x nvidia 30 0x tesla 66 4x,Neutral,0.9999850988388062
2024-11-03 09:11,unpopular opinion bitcoin amp tesla fine even kamala win election,Positive,0.9788778424263
2024-11-03 07:40,good morning investors ready see stock next week,Neutral,0.5022515654563904
2024-11-03 03:43,tonight one eat everything sight especially halloween candies chips nuts chocolates kind nights,Neutral,0.9999966621398926
2024-11-03 03:24,2 us elections loses could happen chances price cut half maybe within q1 2025 elon could deported worse theranos kind outcome possible 10 chance investors would lose,Negative,0.9786036610603333
2024-11-03 01:19,disillusioned fools calling best ai play wtf elon karp building largest ai clusters robots amp cars ever thought morons,Neutral,0.9999948740005493
2024-11-03 00:16,nvidia reportedly discussing investing xai ai startup elon musk tesla per nyp,Neutral,0.9999773502349854
2024-11-02 21:50,last client told two years ex husband accused cheating got tired accusations affair told believe,Neutral,0.9790676832199097
2024-11-02 21:11,one truly worried harris win would lead elon actually getting arrested deported wtv maybe bigger concerns investment,Negative,0.9999679327011108
2024-11-02 20:56,wants swing setups,Neutral,0.9944632649421692
2024-11-02 18:30,sk hynix reportedly discussions supply enterprise ssds tesla worth tesla invests ai servers build ai infrastructure autonomous driving robotics,Neutral,0.999962568283081
2024-11-02 17:57,let talk calls bought yesterday sept next year strike trading,Neutral,0.9999583959579468
2024-11-02 17:00,likes moon people least expect,Neutral,0.9943865537643433
2024-11-02 16:51,focus list current positions,Positive,0.6278799772262573
2024-11-02 16:43,trump wins run faster blink,Positive,0.9999686479568481
2024-11-02 16:29,5 stocks planning buy next week microsoft tesla amd sofi hims planning buy something,Neutral,0.9733797311782837
2024-11-02 15:29,solving fsd unsupervised move stock ath think alone cause surge,Positive,0.713346004486084
2024-11-02 15:21,big money made buying selling waiting charlie munger best investors really good nothing patience conviction,Positive,0.9999921321868896
2024-11-02 13:44,outside big two day earnings pop name 10 last 12 days lol nearing close 50 retracement level lows highs 12 days trump win certainly send name higher hold breath week next tesla,Positive,0.9997698664665222
2024-11-02 13:27,total passive income last week 10 28 11 1 closed positions options selling 00 best week pullback created opportunities november include dividends day trades shares sold,Neutral,0.9998912811279297
2024-11-02 12:54,wl fl curious else shows earnings well based scans pretty negative near term change fast,Positive,0.715561032295227
2024-11-02 12:29,3 4 cup 0 fat plain greek yogurt 1 scoop protein power chocolate banana fav water 1 tablespoon cacao nibs yields 300 calories 45 g protein 6 g fibre breakfast champions,Neutral,0.9999971389770508
2024-11-02 12:15,shareholder sell kamala wins sense elon non stop attack affect tesla one way know grand scheme things big deal make stock lot volatile,Negative,0.8156026601791382
2024-11-02 11:07,market corrects end year group would buy first correction completes group group b group c b group group e silver,Neutral,0.999982476234436
2024-11-02 07:48,next week one interesting weeks stocks long short,Neutral,0.9992521405220032
2024-11-02 07:33,good morning investors keep dollar cost averaging,Positive,0.5349109768867493
2024-11-02 01:31,trump loses low go next 6 months,Negative,0.9899729490280151
2024-11-02 01:13,wheelupdate roth ira account optionselling since 2023 roth account source experimentation due incurred several losses etc previous drawdowns since last 3 4 months took cautious approach went largely,Negative,0.9973262548446655
2024-11-02 01:12,great weekend fam got nice stuff post weekend keep notifications,Positive,0.9998959302902222
2024-11-02 01:00,got csps assigned 250 tesla position biggest ever hundred shares lmao writing next week also 275 277 5s next week 20 contracts 16 5 interest start making videos,Neutral,0.9999614953994751
2024-11-01 23:56,story maria 30s never married dating meets justin date 5 months amp everything going great thought would man finally marries last month comes get hair done obviously,Neutral,0.9891785383224487
2024-11-01 23:35,tsla tesla sells debt backed solar equipment loans tesla inc sold million bonds backed loans offered customers buying solar equipment,Neutral,0.999963641166687
2024-11-01 22:45,expect rise least 20 next 10 days,Neutral,0.99985671043396
2024-11-01 22:44,pizza amp client story tonight,Neutral,0.9999231100082397
2024-11-01 22:15,1nov 24 allocations 25 6 18 9 18 6 14 3 6 9 6 9 4 4 1 2 cash 4 2 ytd 59 7 ytd hi 72 6 25oct ytd lo 3 8 3jan cagr 33 5 7 84 yrs since 1 1 17 changes 1 5,Neutral,0.999996542930603
2024-11-01 22:11,think tesla ever part dow jones,Neutral,0.9994266033172607
2024-11-01 22:03,summary 11 01 2024 upside 1 ev adoption 20 25 per yr 2 fed cuts rate another 50bp e 3 higher fsd take rates licensing deal 4 25k compact launch fy 25 1h 5 tsla likely first market generalized unsupervised fsd fy 25 ye 6 optimus production,Positive,0.9994432330131531
2024-11-01 21:53,1 week worst performing mag7 2 weeks tsla best performing mag7,Neutral,0.8763807415962219
2024-11-01 20:49,took couple days social media thoughts going next week ripple effect felt throughout semiconductor sector group represents heavy part nasdaq 100 earnings winners ie hard time,Neutral,0.8753719329833984
2024-11-01 20:42,judge pa lottery case issues tro would remotely surprised see musk charged criminally next week case,Neutral,0.9668866395950317
2024-11-01 20:18,mega caps earnings last two weeks closed 50 closed 200 death cross pumped dumped still holding okay nice gap still close closed 20 ema gave back majority,Neutral,0.9979879856109619
2024-11-01 20:12,todays trades closed 1 cc 50 5 ccs 2 csps 1 spread 1 cc 1 cc profit sold 3 csps 11 8 1 csp 11 15 rolled 2 csps 11 8 next week gonna wild,Neutral,0.9999990463256836
2024-11-01 20:00,long term investor days like today add position confidently expectations grateful 5 years invest companies changing world ai tesla palantir,Positive,0.9999982118606567
2024-11-01 19:53,stock super short run basically proxy trump odds winning imo,Positive,0.9930342435836792
2024-11-01 19:13,kamala harris defeats psychotic shitstain becomes america first woman president think see one greatest economic booms u history kudos president biden priming engine lfg,Neutral,0.9994701743125916
2024-11-01 17:51,focused leaders whole time way indices green seeing ugly action recent leaders today,Neutral,0.9970525503158569
